SteamRatio(mol:mol EB),Pressure(bar),Temperature(K),EconomicPotential($/hr)
6.500000,1.000000,885.000000,226.684683
6.500000,1.000000,890.000000,241.977484
6.500000,1.000000,895.000000,253.595185
6.500000,1.000000,900.000000,261.620700
6.500000,1.000000,905.000000,266.103141
6.500000,1.000000,910.000000,267.086398
6.500000,1.000000,915.000000,264.572832
6.500000,1.000000,920.000000,258.598867
6.500000,1.000000,925.000000,249.126429
6.500000,1.000000,930.000000,236.126839
6.500000,1.000000,935.000000,219.558438
6.500000,1.000000,940.000000,199.339918
6.500000,1.000000,945.000000,175.467185
6.500000,1.000000,950.000000,147.751557
6.500000,1.100000,800.000000,-868.817590
6.500000,1.100000,805.000000,-751.740424
6.500000,1.100000,810.000000,-643.810813
6.500000,1.100000,815.000000,-544.398889
6.500000,1.100000,820.000000,-452.941177
6.500000,1.100000,825.000000,-368.900853
6.500000,1.100000,830.000000,-291.811078
6.500000,1.100000,835.000000,-221.245568
6.500000,1.100000,840.000000,-156.812566
6.500000,1.100000,845.000000,-98.161185
6.500000,1.100000,850.000000,-44.974828
6.500000,1.100000,855.000000,3.031382
6.500000,1.100000,860.000000,46.114560
6.500000,1.100000,865.000000,84.481440
6.500000,1.100000,870.000000,118.401509
6.500000,1.100000,875.000000,147.991849
6.500000,1.100000,880.000000,173.411936
6.500000,1.100000,885.000000,194.853236
6.500000,1.100000,890.000000,212.382244
6.500000,1.100000,895.000000,226.095983
6.500000,1.100000,900.000000,236.118137
6.500000,1.100000,905.000000,242.465501
6.500000,1.100000,910.000000,245.200893
6.500000,1.100000,915.000000,244.343290
6.500000,1.100000,920.000000,239.874396
6.500000,1.100000,925.000000,231.851454
6.500000,1.100000,930.000000,220.239053
6.500000,1.100000,935.000000,204.949849
6.500000,1.100000,940.000000,185.946041
6.500000,1.100000,945.000000,163.160148
6.500000,1.100000,950.000000,136.457144
6.500000,1.200000,800.000000,-964.285576
6.500000,1.200000,805.000000,-841.276915
6.500000,1.200000,810.000000,-727.789367
6.500000,1.200000,815.000000,-623.164613
6.500000,1.200000,820.000000,-526.814776
6.500000,1.200000,825.000000,-438.177055
6.500000,1.200000,830.000000,-356.763958
6.500000,1.200000,835.000000,-282.130300
6.500000,1.200000,840.000000,-213.865878
6.500000,1.200000,845.000000,-151.603674
6.500000,1.200000,850.000000,-95.012427
6.500000,1.200000,855.000000,-43.794403
6.500000,1.200000,860.000000,2.319283
6.500000,1.200000,865.000000,43.568538
6.500000,1.200000,870.000000,80.146630
6.500000,1.200000,875.000000,112.259611
6.500000,1.200000,880.000000,140.146249
6.500000,1.200000,885.000000,163.804921
6.500000,1.200000,890.000000,183.515812
6.500000,1.200000,895.000000,199.272386
6.500000,1.200000,900.000000,211.187221
6.500000,1.200000,905.000000,219.330526
6.500000,1.200000,910.000000,223.756418
6.500000,1.200000,915.000000,224.490054
6.500000,1.200000,920.000000,221.542839
6.500000,1.200000,925.000000,214.932906
6.500000,1.200000,930.000000,204.606522
6.500000,1.200000,935.000000,190.559847
6.500000,1.200000,940.000000,172.715990
6.500000,1.200000,945.000000,151.000145
6.500000,1.200000,950.000000,125.341362
6.500000,1.300000,800.000000,-1056.205215
6.500000,1.300000,805.000000,-927.522914
6.500000,1.300000,810.000000,-808.719823
6.500000,1.300000,815.000000,-699.110220
6.500000,1.300000,820.000000,-598.082707
6.500000,1.300000,825.000000,-505.049417
6.500000,1.300000,830.000000,-419.507173
6.500000,1.300000,835.000000,-340.979764
6.500000,1.300000,840.000000,-269.051903
6.500000,1.300000,845.000000,-203.336704
6.500000,1.300000,850.000000,-143.488702
6.500000,1.300000,855.000000,-89.197706
6.500000,1.300000,860.000000,-40.183424
6.500000,1.300000,865.000000,3.800833
6.500000,1.300000,870.000000,42.983341
6.500000,1.300000,875.000000,77.577554
6.500000,1.300000,880.000000,107.712850
6.500000,1.300000,885.000000,133.609297
6.500000,1.300000,890.000000,155.326054
6.500000,1.300000,895.000000,173.023786
6.500000,1.300000,900.000000,186.748729
6.500000,1.300000,905.000000,196.669666
6.500000,1.300000,910.000000,202.727339
6.500000,1.300000,915.000000,205.003173
6.500000,1.300000,920.000000,203.510572
6.500000,1.300000,925.000000,198.221638
6.500000,1.300000,930.000000,189.210891
6.500000,1.300000,935.000000,176.361649
6.500000,1.300000,940.000000,159.619472
6.500000,1.300000,945.000000,138.995261
6.500000,1.300000,950.000000,114.333949
6.500000,1.400000,800.000000,-1144.956687
6.500000,1.400000,805.000000,-1010.816547
6.500000,1.400000,810.000000,-886.911789
6.500000,1.400000,815.000000,-772.526397
6.500000,1.400000,820.000000,-667.002652
6.500000,1.400000,825.000000,-569.752054
6.500000,1.400000,830.000000,-480.244874
6.500000,1.400000,835.000000,-397.985365
6.500000,1.400000,840.000000,-322.542797
6.500000,1.400000,845.000000,-253.514519
6.500000,1.400000,850.000000,-190.541281
6.500000,1.400000,855.000000,-133.300789
6.500000,1.400000,860.000000,-81.501669
6.500000,1.400000,865.000000,-34.906579
6.500000,1.400000,870.000000,6.791154
6.500000,1.400000,875.000000,43.705418
6.500000,1.400000,880.000000,76.083904
6.500000,1.400000,885.000000,104.083530
6.500000,1.400000,890.000000,127.784644
6.500000,1.400000,895.000000,147.373166
6.500000,1.400000,900.000000,162.883459
6.500000,1.400000,905.000000,174.453247
6.500000,1.400000,910.000000,182.090410
6.500000,1.400000,915.000000,185.857453
6.500000,1.400000,920.000000,185.770543
6.500000,1.400000,925.000000,181.831699
6.500000,1.400000,930.000000,174.052347
6.500000,1.400000,935.000000,162.364608
6.500000,1.400000,940.000000,146.723513
6.500000,1.400000,945.000000,127.140885
6.500000,1.400000,950.000000,103.441452
